% Model,纳米原柱.mph
% Version,COMSOL 6.3.0.290
% Date,"May 26 2026, 00:06"
% Table,表格 2 - 全局计算 2
% r_pillar (m),freq (THz),S21 (1),abs(ewfd.S21)^2 (1),"atan2(imag(ewfd.S21),real(ewfd.S21)) (rad)"
5.0000000000000004E-8,361.19573253012044,-0.9407576578649489+0.23603984269637612i,0.9407397781716743,2.8957633647682615
6.000000000000001E-8,361.19573253012044,-0.9234782198937735+0.30239416135860875i,0.9442542514419492,2.8251452201948557
7.0E-8,361.19573253012044,-0.8922091215517486+0.3885891695049761i,0.94703865923671,2.7308318935329594
8.0E-8,361.19573253012044,-0.8380231603750388+0.4957479050315378i,0.9480488026681267,2.6073960285518774
9.000000000000001E-8,361.19573253012044,-0.7479387939754695+0.621482782091598i,0.9456532879697925,2.4482759973668684
1.0E-7,361.19573253012044,-0.6057383310324419+0.7565287885594031i,0.9392547336011261,2.2459524588326967
1.1E-7,361.19573253012044,-0.39387782774168123+0.8812126988886886i,0.9316755638691921,1.991129716628116
1.2000000000000002E-7,361.19573253012044,-0.09878102718754922+0.9599258332666912i,0.9312152967049787,1.6733402369265855
1.3E-7,361.19573253012044,0.2808787631994909+0.9331177784632749i,0.949601668100713,1.2784122209044124
1.4E-7,361.19573253012044,0.695080003272741+0.7067043781356669i,0.9825672890257533,0.7936905288798406
1.5E-7,361.19573253012044,0.972230885887241+0.21390260946005293i,0.9909872218069095,0.21656189595718284
1.6E-7,361.19573253012044,0.7976258701264795-0.5097029569826868i,0.896004133051918,-0.5686212752531248
1.7000000000000001E-7,361.19573253012044,0.4358412478288551+0.12169039789901333i,0.20476614624983366,0.2722742048163111
1.8E-7,361.19573253012044,0.6434855833911137-0.3777049296669558i,0.556734709926922,-0.5307814375562527
1.9E-7,361.19573253012044,0.4897552626086064-0.609696296799954i,0.6115897915844026,-0.8940601559086537
2.0E-7,361.19573253012044,0.3155899316295383-0.7370960698501737i,0.6429076211345089,-1.166258050451198
2.1E-7,361.19573253012044,0.10514934369541386-0.795046404697635i,0.6431551701022118,-1.4393038464684456
2.2E-7,361.19573253012044,0.030331949261763858-0.8871647302681431i,0.7879812857777654,-1.536619879321492
